id,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText,color,transmissionType,make,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
1008.0,745i,BMW 745i,745,745i,"\"Ab MFK\"",schwarz,G,27600,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4398,12,2004,Benzin,276 g/km,333,4,,Limousine,silver met.,null,Bmw,11.4,l/100km
102.0,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,911,911 Turbo Cabrio,"\"Ab MFK\", \"Direkt-/Parallelimport\"",mehrfarbig,G,52000,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,3800,12,2009,Benzin,270 g/km,500,2,,Cabriolet,blue met.,automatic,Porsche,11.5,l/100km
1047.0,911 Carrera S,PORSCHE 911 Carrera S,911,911 Carrera S,"\"Ab MFK\"",schwarz,G,39400,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,3824,8,2005,Benzin,277 g/km,355,2,,Coupé,silver met.,manual,Porsche,11.5,l/100km
151.0,Quattroporte 4.7 S,MASERATI Quattroporte 4.7 S,QUATTROPORTE,Quattroporte 4.7 S,"\"Ab MFK\", \"Direkt-/Parallelimport\"",beige,G,96000,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4691,2,2009,Benzin,365 g/km,431,4,,Limousine,blue met.,null,Maserati,15.7,l/100km
247.0,S-Type 4.2 V8 S/C R,JAGUAR S-Type 4.2 V8 S/C R,S-TYPE,S-Type 4.2 V8 S/C R,"\"Ab MFK\"",schwarz,G,32900,Automat,5,Hinterradantrieb,Zuzwil,4196,7,2002,Benzin,314 g/km,396,4,,Limousine,gray,automatic,Jaguar,12.5,l/100km
373.0,Rallye2,SIMCA Rallye2,,Rallye2,"\"Ab MFK\"",null,null,18200,Schaltgetriebe,0,Hinterradantrieb,Zuzwil,1294,11,1976,Benzin,null,86,4,,Coupé,green,manual,Simca,null,
602.0,Black Series,MERCEDES-BENZ SLK 55 AMG Black Series,SLK 55 AMG,SLK 55 AMG Black Series,"\"Ab MFK\"",schwarz,null,25000,Automat sequentiell,2,Hinterradantrieb,Zuzwil,5439,10,2006,Benzin,null,400,2,,Coupé,black,null,Mercedes-benz,null,
886.0,Range Rover 5.0 V8 SC,LAND ROVER Range Rover 5.0 V8 SC,RANGE ROVER,Range Rover 5.0 V8 SC,"\"Ab MFK\"",schwarz,G,9000,Automat,5,Allrad,Zuzwil,4999,10,2010,Benzin,348 g/km,510,5,,SUV / Geländewagen,silver met.,automatic,Land rover,14.9,l/100km
1.0,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,E 320,E 320 Elégance 4-Matic,"\"Ab MFK\"",grau,null,31900,Automat,5,Allrad,Zuzwil,3199,1,1999,Benzin,275 g/km,224,4,,Limousine,anthrazit,automatic,Mercedes-benz,11.5,l/100km
302.0,CL 65 AMG,MERCEDES-BENZ CL 65 AMG,CL 65 AMG,CL 65 AMG,"\"Ab MFK\"",schwarz,G,19800,Automat sequentiell,4,Hinterradantrieb,Zuzwil,5981,1,2006,Benzin,357 g/km,612,2,,Coupé,gray met.,null,Mercedes-benz,14.9,l/100km
