carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,silver met.,,,,Zuzwil,,Bmw,,27600.0,kilometer,745,745i,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Zuzwil,,Porsche,,52000.0,kilometer,911,911 Turbo Cabrio,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Porsche,,39400.0,kilometer,911,911 Carrera S,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Maserati,,96000.0,kilometer,Quattroporte,Quattroporte 4.7 S,false,car,,,l_km_consumption
Limousine,gray,,,,Zuzwil,,Jaguar,,32900.0,kilometer,S-type,S-Type 4.2 V8 S/C R,false,car,,,l_km_consumption
Coupé,green,,,,Zuzwil,,Simca,,18200.0,kilometer,,Rallye2,false,car,,,
Coupé,black,,,,Zuzwil,,Mercedes-benz,,25000.0,kilometer,Slk 55 amg,Black Series,false,car,,,
SUV / Geländewagen,silver met.,,,,Zuzwil,,Land rover,,9000.0,kilometer,Range rover,Range Rover 5.0 V8 SC,false,car,,,l_km_consumption
Limousine,anthrazit,,,,Zuzwil,,Mercedes-benz,,31900.0,kilometer,E 320,E 320 Elégance 4-Matic,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Mercedes-benz,,19800.0,kilometer,Cl 65 amg,CL 65 AMG,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Talbot,,182200.0,kilometer,Matra,Murena 2.2,false,car,,,
Coupé,black,,,,Zuzwil,,Lamborghini,,28500.0,kilometer,Gallardo,Gallardo LP560-4 Coupé,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Bmw,,34500.0,kilometer,M6,M6,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Bmw,,55000.0,kilometer,M6,M6,false,car,,,l_km_consumption
Kombi,white met.,,,,Zuzwil,,Audi,,55000.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Aston martin,,24600.0,kilometer,V12 vanquish,Vanquish V12,false,car,,,l_km_consumption
Coupé,silver met.,,,,Sursee,,Mercedes-benz,,5000.0,kilometer,300,300SL W198,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,152000.0,kilometer,190,190 E 2.5-16 ABS,false,car,,,
Coupé,silver met.,,,,Zuzwil,,Porsche,,53400.0,kilometer,911,911 GT2,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Renault,,14873.0,kilometer,R12,Gordini,false,car,,,
SUV / Geländewagen,black met.,,,,Zuzwil,,Mercedes-benz,,1.0,kilometer,Ml 500,ML 500 4Matic,false,car,,,l_km_consumption
Cabriolet,red,,,,Zuzwil,,Opel,,11700.0,kilometer,Speedster,Speedster 2.0 16V Turbo,false,car,,,l_km_consumption
Limousine,red,,,,Zuzwil,,Saab,,104400.0,kilometer,9-3,9-3 2.0T Performance,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Mclaren,,55.0,kilometer,12c,MP4-12C 3.8 V8,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Audi,,31750.0,kilometer,Rs5,RS5 Coupé 4.2FSI quattro,false,car,,,l_km_consumption
Cabriolet,white met.,,,,Zuzwil,,Agm,,1.0,kilometer,,WLR,false,car,,,
Limousine,gray,,,,Zuzwil,,Maserati,,46050.0,kilometer,Quattroporte,Quattroporte 4.2,false,car,,,l_km_consumption
