id,MakeText,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,BodyColorText,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,ConsumptionTotalText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText
1008.0,BMW,745i,BMW 745i,745,745i,"\"Ab MFK\"",schwarz,G,27600,silber mét.,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4398,12,2004,Benzin,11.4 l/100km,276 g/km,333,4,,Limousine
102.0,PORSCHE,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,911,911 Turbo Cabrio,"\"Ab MFK\", \"Direkt-/Parallelimport\"",mehrfarbig,G,52000,blau mét.,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,3800,12,2009,Benzin,11.5 l/100km,270 g/km,500,2,,Cabriolet
1047.0,PORSCHE,911 Carrera S,PORSCHE 911 Carrera S,911,911 Carrera S,"\"Ab MFK\"",schwarz,G,39400,silber mét.,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,3824,8,2005,Benzin,11.5 l/100km,277 g/km,355,2,,Coupé
151.0,MASERATI,Quattroporte 4.7 S,MASERATI Quattroporte 4.7 S,QUATTROPORTE,Quattroporte 4.7 S,"\"Ab MFK\", \"Direkt-/Parallelimport\"",beige,G,96000,blau mét.,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4691,2,2009,Benzin,15.7 l/100km,365 g/km,431,4,,Limousine
247.0,JAGUAR,S-Type 4.2 V8 S/C R,JAGUAR S-Type 4.2 V8 S/C R,S-TYPE,S-Type 4.2 V8 S/C R,"\"Ab MFK\"",schwarz,G,32900,grau,Automat,5,Hinterradantrieb,Zuzwil,4196,7,2002,Benzin,12.5 l/100km,314 g/km,396,4,,Limousine
373.0,SIMCA,Rallye2,SIMCA Rallye2,,Rallye2,"\"Ab MFK\"",null,null,18200,grün,Schaltgetriebe,0,Hinterradantrieb,Zuzwil,1294,11,1976,Benzin,null,null,86,4,,Coupé
602.0,MERCEDES-BENZ,Black Series,MERCEDES-BENZ SLK 55 AMG Black Series,SLK 55 AMG,SLK 55 AMG Black Series,"\"Ab MFK\"",schwarz,null,25000,schwarz,Automat sequentiell,2,Hinterradantrieb,Zuzwil,5439,10,2006,Benzin,null,null,400,2,,Coupé
886.0,LAND ROVER,Range Rover 5.0 V8 SC,LAND ROVER Range Rover 5.0 V8 SC,RANGE ROVER,Range Rover 5.0 V8 SC,"\"Ab MFK\"",schwarz,G,9000,silber mét.,Automat,5,Allrad,Zuzwil,4999,10,2010,Benzin,14.9 l/100km,348 g/km,510,5,,SUV / Geländewagen
1.0,MERCEDES-BENZ,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,E 320,E 320 Elégance 4-Matic,"\"Ab MFK\"",grau,null,31900,anthrazit,Automat,5,Allrad,Zuzwil,3199,1,1999,Benzin,11.5 l/100km,275 g/km,224,4,,Limousine
302.0,MERCEDES-BENZ,CL 65 AMG,MERCEDES-BENZ CL 65 AMG,CL 65 AMG,CL 65 AMG,"\"Ab MFK\"",schwarz,G,19800,grau mét.,Automat sequentiell,4,Hinterradantrieb,Zuzwil,5981,1,2006,Benzin,14.9 l/100km,357 g/km,612,2,,Coupé
360.0,TALBOT,Murena 2.2,TALBOT Murena 2.2,MATRA,Murena 2.2,"\"Ab MFK\"",grau,null,182200,grau mét.,Schaltgetriebe manuell,3,Hinterradantrieb,Zuzwil,2155,4,1982,Benzin,null,null,118,3,,Coupé
526.0,LAMBORGHINI,Gallardo LP560-4 Coupé,LAMBORGHINI Gallardo LP560-4 Coupé,GALLARDO,Gallardo LP560-4 Coupé,"\"Ab MFK\"",schwarz,G,28500,schwarz,Automatisiertes Schaltgetriebe,2,Allrad,Zuzwil,5204,6,2008,Benzin,13.7 l/100km,325 g/km,560,2,,Coupé
884.0,BMW,M6,BMW M6,M6,M6,"\"Ab MFK\"",schwarz,G,34500,silber mét.,Automatisiertes Schaltgetriebe,4,Hinterradantrieb,Zuzwil,4999,11,2006,Benzin,14.8 l/100km,357 g/km,507,2,,Coupé
985.0,BMW,M6,BMW M6,M6,M6,"\"Ab MFK\"",schwarz,G,55000,silber mét.,Automatisiertes Schaltgetriebe,4,Hinterradantrieb,Zuzwil,4999,7,2005,Benzin,14.8 l/100km,357 g/km,507,2,,Coupé
1153.0,AUDI,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,55000,weiss mét.,Automat sequentiell,5,Allrad,Zuzwil,4172,3,2004,Benzin,14.6 l/100km,350 g/km,450,5,,Kombi
353.0,ASTON MARTIN,Vanquish V12,ASTON MARTIN Vanquish V12,V12 Vanquish,Vanquish V12,"\"Ab MFK\"",beige,G,24600,grau mét.,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,5935,1,2003,Benzin,16.7 l/100km,396 g/km,470,2,,Coupé
931.0,MERCEDES-BENZ,300SL W198,MERCEDES-BENZ 300 300SL W198,300,300 300SL W198,null,rot,null,5000,silber mét.,Schaltgetriebe,0,Hinterradantrieb,Sursee,2995,5,1955,null,null,null,215,2,,Coupé
1045.0,MERCEDES-BENZ,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,190,190 E 2.5-16 ABS,"\"Ab MFK\"",null,null,152000,silber mét.,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2497,4,1992,Benzin,null,null,195,4,,Limousine
1057.0,PORSCHE,911 GT2,PORSCHE 911 GT2,911,911 GT2,"\"Ab MFK\"",schwarz,G,53400,silber mét.,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,3600,9,2001,Benzin,12.9 l/100km,309 g/km,462,2,,Coupé
685.0,RENAULT,Gordini,RENAULT R12 Gordini,R12,R12 Gordini,"\"Ab MFK\"",schwarz,null,14873,schwarz mét.,null,0,null,Zuzwil,1565,4,1972,Benzin,null,null,0,4,,Limousine
705.0,MERCEDES-BENZ,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic,ML 500,ML 500 4Matic,"\"Ab MFK\"",beige,G,1,schwarz mét.,Automat sequentiell,5,Allrad,Zuzwil,4966,3,2007,Benzin,13.4 l/100km,319 g/km,306,5,,SUV / Geländewagen
459.0,OPEL,Speedster 2.0 16V Turbo,OPEL Speedster 2.0 16V Turbo,SPEEDSTER,Speedster 2.0 16V Turbo,"\"Ab MFK\", \"Tuning\"",schwarz,G,11700,rot,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,1998,6,2003,Benzin,8.5 l/100km,202 g/km,200,2,,Cabriolet
472.0,SAAB,9-3 2.0T Performance,SAAB 9-3 2.0T Performance,9-3,9-3 2.0T Performance,"\"Ab MFK\"",grau,null,104400,rot,Automatik-Getriebe,5,Vorderradantrieb,Zuzwil,1998,4,2005,Benzin,10.2 l/100km,239 g/km,252,4,,Limousine
